id_notificacion_sistema,titulo,modulo,tipo_error,mensaje,detalles,fecha_creacion,resuelto,fecha_resolucion,id_usuario_resolvio
170,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 499ms,[object Object],2026-04-08 19:00:00,1,,
171,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 649ms,[object Object],2026-04-08 20:00:00,1,,
172,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 532ms,[object Object],2026-04-08 21:00:00,1,,
173,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 580ms,[object Object],2026-04-08 22:00:00,1,,
174,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 536ms,[object Object],2026-04-08 23:00:00,1,,
175,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 545ms,[object Object],2026-04-09 00:00:01,1,,
176,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 788ms,[object Object],2026-04-09 01:00:00,1,,
177,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 680ms,[object Object],2026-04-09 15:00:01,1,,
178,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 619ms,[object Object],2026-04-09 16:00:01,1,,
179,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 419ms,[object Object],2026-04-09 17:00:00,1,,
180,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 440ms,[object Object],2026-04-09 18:00:00,1,,
181,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 501ms,[object Object],2026-04-09 19:00:00,1,,
182,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 769ms,[object Object],2026-04-09 20:00:01,1,,
183,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 570ms,[object Object],2026-04-09 21:00:00,1,,
184,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 494ms,[object Object],2026-04-09 22:00:01,1,,
185,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 671ms,[object Object],2026-04-09 23:00:01,1,,
186,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 469ms,[object Object],2026-04-10 00:00:00,1,,
187,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 762ms,[object Object],2026-04-10 01:00:00,1,,
188,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 628ms,[object Object],2026-04-10 15:00:00,1,,
189,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 532ms,[object Object],2026-04-10 16:00:00,1,,
190,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 562ms,[object Object],2026-04-10 17:00:00,1,,
191,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 706ms,[object Object],2026-04-10 18:00:00,1,,
192,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 479ms,[object Object],2026-04-10 19:00:00,1,,
193,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 531ms,[object Object],2026-04-10 20:00:00,1,,
194,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 640ms,[object Object],2026-04-10 21:00:00,1,,
195,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 524ms,[object Object],2026-04-10 22:00:00,1,,
